File Name,Total Time,Tempo,Song Key,Instruments,Note Count
Babushka.mid,125.53833599999999,130,Unknown,"35, 7, 40, 41, 109, 111, 25, 29",2894
BabyBeenAroundABit.mid,111.999888,90,Unknown,29,644
BabyGotterdamerung(Live).mid,254.76897599999998,130,Unknown,"50, 27, 30",2371
BabyImYourNightmare.mid,312.428259,140,Unknown,"33, 29",4028
BackODaBus.mid,79.058784,170,Unknown,"33, 27",830
Back_In_The_Village.mid,290.91880733333335,272,5,"33, 52, 30",9406
BadBoysRunningWild.mid,340.7168425,109,0,"34, 75, 126, 29, 30, 31",4427
Balance.mid,217.60000000000002,75,Unknown,26,752
BallAndChain.mid,240.90885,132,Unknown,"25, 29, 30",2681
BallsofIce.mid,244.090844,176,Unknown,30,3492
BallTongue.mid,265.794078,107,Unknown,"33, 36, 29",7169
Bangkok.mid,114.246324,146,Unknown,"0, 104, 73, 8, 12, 46, 47, 48, 52, 24, 25, 27, 61, 30",4068
BangYourHead.mid,300.045,125,Unknown,"34, 29, 30",4151
BanishFromSanctuary.mid,320.291346375,180,Unknown,"33, 30",12028
BardsSong.mid,220.845933,140,Unknown,24,1025
BareBones.mid,222.4088685,220,Unknown,"1, 36, 29, 30",6796
BareGraceMisery.mid,216.0,150,Unknown,"48, 89, 30, 33",4091
Barfbag.mid,318.2787315,103,Unknown,"33, 29, 95",8152
BaseLevelErotica.mid,542.022228,89,Unknown,"26, 27, 34, 30",4883
BastardNation.mid,223.38439199999996,130,Unknown,"36, 29, 30",7995
BastardsOfBodom.mid,208.65,100,Unknown,"81, 34, 30",6921
BastardsOfTheMachine.mid,292.38931489166663,142,Unknown,29,2614
BatOutOfHell.mid,458.669631125,167,0,"0, 1, 35, 16, 52, 53, 28, 30",11047
BattleAxe.mid,52.142732,168,Unknown,30,441
Battlefield.mid,321.10336800000005,145,Unknown,"40, 73, 25, 92, 30, 95",7357
BattleHymn.mid,38.470584,100,Unknown,"48, 30",376
BattleOfSuddenFlame.mid,39.6,100,Unknown,"24, 73",436
BBK.mid,233.60863725000002,115,Unknown,"28, 36, 29, 30",5562
Beautiful.mid,244.39013799999998,82,Unknown,"33, 29, 30",4038
BeautyAndTheBeast.mid,376.962527,140,Unknown,"48, 33, 29, 6",7770
BeautyOfTheBeast.mid,585.470808,145,Unknown,"34, 100, 12, 46, 48, 82, 91, 30",16602
